PARAMS: {'dataset': 'housing', 'dominant_gene': 1, 'genome_type': 0, 'mutation_p': 10, 'pop_size': 10, 'elitism_portion': 0.2, 'fitness_loss_weight': 150, 'fitness_epoch_count_weight': 0}
evolutionary_step,best_fitness,min_loss,convergence_time,best_genotype
27,0.0006371373310685158,0.0006371373310685158,6,[0.045473812587393504, [7, 6, 5, 5, 4, 2, 4], 64, [0.2206473886798635, 0.20163022476161913, 0.2810791333563963, 0.38999685763680453, 0.4227254797256967, 0.32208552979886873, 0.006750668385716918], ['linear', 'leaky_relu', 'linear', 'linear', 'relu', 'linear', 'relu'], 0.8936134084938427]
28,0.0007743042078800499,0.0007743042078800499,3,[0.045473812587393504, [7, 6, 5, 5, 4, 2, 4], 64, [0.2206473886798635, 0.20163022476161913, 0.2810791333563963, 0.38999685763680453, 0.4227254797256967, 0.32208552979886873, 0.006750668385716918], ['linear', 'leaky_relu', 'linear', 'linear', 'relu', 'linear', 'relu'], 0.8936134084938427]
29,0.0008787297992967069,0.0008787297992967069,2,[0.045473812587393504, [7, 3, 6, 3, 6, 4, 2], 64, [0.2206473886798635, 0.20163022476161913, 0.2810791333563963, 0.38999685763680453, 0.4227254797256967, 0.32208552979886873, 0.006750668385716918], ['linear', 'leaky_relu', 'linear', 'linear', 'relu', 'linear', 'relu'], 0.8936134084938427]
30,0.0011305715888738632,0.0011305715888738632,17,[0.045473812587393504, [7, 3, 6, 3, 6, 4, 2], 64, [0.2206473886798635, 0.20163022476161913, 0.2810791333563963, 0.38999685763680453, 0.4227254797256967, 0.32208552979886873, 0.006750668385716918], ['linear', 'leaky_relu', 'linear', 'linear', 'relu', 'linear', 'relu'], 0.8936134084938427]
31,0.0010695488890632987,0.0010695488890632987,6,[0.045473812587393504, [7, 6, 5, 5, 4, 2, 4], 16, [0.2206473886798635, 0.20163022476161913, 0.2810791333563963, 0.38999685763680453, 0.4227254797256967, 0.32208552979886873, 0.006750668385716918], ['linear', 'leaky_relu', 'linear', 'linear', 'relu', 'linear', 'relu'], 0.9651000296215152]
32,0.001130810589529574,0.001130810589529574,3,[0.045473812587393504, [7, 6, 5, 5, 4, 2, 4], 16, [0.2206473886798635, 0.20163022476161913, 0.2810791333563963, 0.38999685763680453, 0.4227254797256967, 0.32208552979886873, 0.006750668385716918], ['linear', 'leaky_relu', 'linear', 'linear', 'relu', 'linear', 'relu'], 0.9651000296215152]
33,0.0007732817903161049,0.0007732817903161049,2,[0.045473812587393504, [7, 3, 6, 3, 6, 4, 2], 64, [0.36551165648548667, 0.26136141791524403, 0.26543692042522044, 0.4819189108188961, 0.16133809188053716, 0.4463477640696959, 0.02043027987633156], ['linear', 'leaky_relu', 'linear', 'linear', 'relu', 'linear', 'relu'], 0.9651000296215152]
34,0.0010085580870509148,0.0010085580870509148,7,[0.045473812587393504, [7, 6, 5, 5, 4, 2, 4], 16, [0.2206473886798635, 0.20163022476161913, 0.2810791333563963, 0.38999685763680453, 0.4227254797256967, 0.32208552979886873, 0.006750668385716918], ['linear', 'leaky_relu', 'linear', 'linear', 'relu', 'linear', 'relu'], 0.9651000296215152]
35,0.0010607001604512334,0.0010607001604512334,2,[0.045473812587393504, [7, 6, 5, 5, 4, 2, 4], 16, [0.2206473886798635, 0.20163022476161913, 0.2810791333563963, 0.38999685763680453, 0.4227254797256967, 0.32208552979886873, 0.006750668385716918], ['linear', 'leaky_relu', 'linear', 'linear', 'relu', 'linear', 'relu'], 0.9651000296215152]
36,0.000899730424862355,0.000899730424862355,3,[0.045473812587393504, [7, 3, 6, 2, 5, 7, 7], 256, [0.49159991273163156, 0.12219056024908193, 0.02336782401448828, 0.053836145385415646, 0.27729028879562356, 0.41517818536503176, 0.38258986968465925], ['relu', 'linear', 'softplus', 'softplus', 'leaky_relu', 'softplus', 'leaky_relu'], 0.9651000296215152]
37,0.0007281918078660965,0.0007281918078660965,6,[0.045473812587393504, [7, 4, 7, 8, 7, 4, 3], 64, [0.1292415541767985, 0.34285573037115513, 0.4051767417750395, 0.31378966226691146, 0.2996331620593357, 0.35153900708336255, 0.08379321750339364], ['linear', 'leaky_relu', 'linear', 'linear', 'relu', 'linear', 'relu'], 0.9651000296215152]
38,0.0011310565751045942,0.0011310565751045942,35,[0.045473812587393504, [7, 4, 7, 8, 7, 4, 3], 64, [0.1292415541767985, 0.34285573037115513, 0.4051767417750395, 0.31378966226691146, 0.2996331620593357, 0.35153900708336255, 0.08379321750339364], ['linear', 'leaky_relu', 'linear', 'linear', 'relu', 'linear', 'relu'], 0.9651000296215152]
39,0.00113016611430794,0.00113016611430794,120,[0.045473812587393504, [7, 3, 8, 3, 6, 8, 5], 64, [0.1292415541767985, 0.34285573037115513, 0.4051767417750395, 0.31378966226691146, 0.2996331620593357, 0.35153900708336255, 0.08379321750339364], ['leaky_relu', 'softplus', 'relu', 'relu', 'relu', 'relu', 'leaky_relu'], 0.9651000296215152]
40,0.0009444840834476054,0.0009444840834476054,29,[0.045473812587393504, [8, 4, 5, 3, 2, 6, 5], 128, [0.06418370540287927, 0.006953559422812561, 0.07670172412717996, 0.4284338847474772, 0.241391323293138, 0.14408878792289165, 0.27520150355114276], ['linear', 'leaky_relu', 'linear', 'linear', 'relu', 'linear', 'relu'], 0.9651000296215152]
41,0.0011409764410927892,0.0011409764410927892,6,[0.045473812587393504, [8, 4, 5, 3, 2, 6, 5], 2, [0.1292415541767985, 0.34285573037115513, 0.4051767417750395, 0.31378966226691146, 0.2996331620593357, 0.35153900708336255, 0.08379321750339364], ['softplus', 'leaky_relu', 'linear', 'relu', 'relu', 'leaky_relu', 'leaky_relu'], 0.8314524789976134]
42,0.0011149259516969323,0.0011149259516969323,6,[0.045473812587393504, [7, 8, 2, 2, 4, 4, 4], 64, [0.1292415541767985, 0.34285573037115513, 0.4051767417750395, 0.31378966226691146, 0.2996331620593357, 0.35153900708336255, 0.08379321750339364], ['linear', 'leaky_relu', 'linear', 'linear', 'relu', 'linear', 'relu'], 0.857497972720384]
43,0.0009056708076968789,0.0009056708076968789,6,[0.045473812587393504, [7, 8, 2, 2, 4, 4, 4], 64, [0.03868126450424697, 0.2650052483930674, 0.1706439576007323, 0.04884196753239339, 0.028633443512185053, 0.1458162819673251, 0.11017177249877574], ['linear', 'leaky_relu', 'linear', 'linear', 'relu', 'linear', 'relu'], 0.9651000296215152]

EVOLUTION ENDED

Optimal genes: [0.045473812587393504, [7, 6, 5, 5, 4, 2, 4], 64, [0.0560899136382626, 0.3710519602421624, 0.1469371929419105, 0.2603994002251909, 0.25807471578108343, 0.25807471578108343, 0.25807471578108343], ['linear', 'leaky_relu', 'linear', 'linear', 'relu', 'linear', 'relu'], 0.8936134084938427]           
Optimal fitness: 0.0004672978539019823                 
