PARAMS: {'dataset': 'hardness', 'dominant_gene': 1, 'genome_type': 0, 'mutation_p': 10, 'pop_size': 10, 'elitism_portion': 0.2, 'fitness_loss_weight': 150, 'fitness_epoch_count_weight': 0}
evolutionary_step,best_fitness,min_loss,convergence_time,best_genotype
61,0.0004327067581471056,0.0004327067581471056,31,[0.025567716438653215, [4, 7, 2], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['linear', 'relu', 'leaky_relu'], 0.9625812823432778]
62,0.0004731017688754946,0.0004731017688754946,41,[0.025567716438653215, [4, 7, 2], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['linear', 'relu', 'leaky_relu'], 0.9625812823432778]
63,0.00044282188173383474,0.00044282188173383474,31,[0.025567716438653215, [4, 7, 2], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['linear', 'relu', 'leaky_relu'], 0.9625812823432778]
64,0.0004418445168994367,0.0004418445168994367,36,[0.025567716438653215, [4, 7, 2], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['linear', 'relu', 'leaky_relu'], 0.9625812823432778]
65,0.0004345269699115306,0.0004345269699115306,21,[0.025567716438653215, [4, 7, 2], 2, [0.3430814050859379, 0.25290401452651246, 0.06763193556264468], ['linear', 'leaky_relu', 'softplus'], 0.9625812823432778]
66,0.0004610924224834889,0.0004610924224834889,34,[0.025567716438653215, [4, 7, 2], 2, [0.3430814050859379, 0.25290401452651246, 0.06763193556264468], ['linear', 'linear', 'linear'], 0.9625812823432778]
67,0.00045215856516733766,0.00045215856516733766,26,[0.025567716438653215, [4, 7, 2], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['linear', 'relu', 'leaky_relu'], 0.9625812823432778]
68,0.00042821510578505695,0.00042821510578505695,33,[0.025567716438653215, [4, 7, 2], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['linear', 'relu', 'leaky_relu'], 0.9625812823432778]
69,0.0004380534228403121,0.0004380534228403121,35,[0.025567716438653215, [4, 7, 2], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['linear', 'relu', 'leaky_relu'], 0.9625812823432778]
70,0.0004377802833914757,0.0004377802833914757,31,[0.025567716438653215, [4, 7, 2], 2, [0.15317213396446072, 0.03080165388485301, 0.09814458341810339], ['linear', 'relu', 'leaky_relu'], 0.9625812823432778]
